Nicolas Cage,Trapped in Paradise
Nicolas Cage,Adaptation
Nicolas Cage,Matchstick Men
Nicolas Cage,Lord of War
Nicolas Cage,Windtalkers
Steve McQueen,The Great Escape
Steve McQueen,Bullitt
Steve McQueen,Papillon
Steve McQueen,Le Mans
Steve McQueen,The Cincinnati Kid
Steve McQueen,The Sand Pebbles
Steve McQueen,The Thomas Crown Affai
Steve McQueen,The Great St. Louis Bank Robbery
Steve McQueen,The Blob
Steve McQueen,The Getaway
Anthony Hopkins,Silence of the Lambs
Anthony Hopkins,The Elephant Man
Anthony Hopkins,The Mask of Zorro
Anthony Hopkins,Titus
Anthony Hopkins,Nixon
Anthony Hopkins,Meet Joe Black
Anthony Hopkins,The Edge
Anthony Hopkins,Bad Company
Anthony Hopkins,Surviving Picasso
Anthony Hopkins,The Road to Wellville
Mark Wahlberg,Rock Star
Mark Wahlberg,Boogie Nights
Mark Wahlberg,Renaissance Man
Mark Wahlberg,Four Brothers
Mark Wahlberg,The Italian Job
Mark Wahlberg,Ted
Mark Wahlberg,Contraband
Mark Wahlberg,The Big Hit
Mark Wahlberg,Shooter
Mark Wahlberg,The Fighter
Charlie Sheen,Platoon
Charlie Sheen,The Chase
Charlie Sheen,The Rookie
Charlie Sheen,Navy SEALs
Charlie Sheen,Men at Work
Charlie Sheen,Major League
Charlie Sheen,Wall Street
Charlie Sheen,Cadence
Charlie Sheen,Hot Shots!
Charlie Sheen,Young Guns
Billy Bob Thornton,Sling Blade
Billy Bob Thornton,Bad Santa
Billy Bob Thornton,Monster's Ball
Billy Bob Thornton,Armageddon
Billy Bob Thornton,The Man Who Wasn't There
Billy Bob Thornton,School for Scoundrels
Billy Bob Thornton,Pushing Tin
Billy Bob Thornton,A Simple Plan
Billy Bob Thornton,Bandits
Billy Bob Thornton,U Turn
Gary Oldman,JFK
Gary Oldman,Bram Stoker's Dracula
Gary Oldman,Sid and Nancy
Gary Oldman,The Dark Knight
Gary Oldman,Air Force One
Gary Oldman,Léon: The Professional
Gary Oldman,True Romance
Gary Oldman,Immortal Beloved
Gary Oldman,The Fifth Element
Gary Oldman,Tinker Tailor Soldier Spy
Gene Hackman,The French Connection
Gene Hackman,Mississippi Burning
Gene Hackman,The Conversation
Gene Hackman,Scarecrow
Gene Hackman,Behind Enemy Lines
Gene Hackman,Superman
Gene Hackman,The Quick and the Dead
Gene Hackman,Heist
Gene Hackman,The Royal Tenenbaums
Gene Hackman,Enemy of the State
Robin Williams,Good Will Hunting
Robin Williams,"Good Morning, Vietnam"
Robin Williams,Dead Poets Society
Robin Williams,Awakenings
Robin Williams,Mrs. Doubtfire
Robin Williams,Insomnia
Robin Williams,The Fisher King
Robin Williams,The Big White
Robin Williams,One Hour Photo
Robin Williams,The Birdcage
Christian Bale,American Psycho
Christian Bale,The Machinist
Christian Bale,3:10 to Yuma
Christian Bale,Empire of the Sun
Christian Bale,The Prestige
Christian Bale,Newsies
Christian Bale,Rescue Dawn
Christian Bale,Terminator Salvation
Christian Bale,Harsh Times
Christian Bale,Equilibrium
Paul Giamatti,American Splendor
Paul Giamatti,Sideways
Paul Giamatti,Big Fat Liar
Paul Giamatti,Cold Souls
Paul Giamatti,Barney's Version
Paul Giamatti,Fred Claus
Paul Giamatti,Shoot 'Em Up
Paul Giamatti,John Adams
Paul Giamatti,Pretty Bird
Paul Giamatti,Lady in the Water
Michael Douglas,Falling Down
Michael Douglas,The War of the Roses
Michael Douglas,Traffic
Michael Douglas,Romancing the Stone
Michael Douglas,Black Rain
Michael Douglas,Fatal Attraction
Michael Douglas,The China Syndrome
Michael Douglas,Basic Instinct
Michael Douglas,The American President
Michael Douglas,King of California
Kurt Russell,Elvis
Kurt Russell,Tombstone
Kurt Russell,"3, 3000 Miles to Graceland"
Kurt Russell,Escape from New York
Kurt Russell,Miracle
Kurt Russell,Backdraft
Kurt Russell,The Thing
Kurt Russell,Soldier
Kurt Russell,The Computer Wore Tennis Shoes
Kurt Russell,Overboard
Patrick Swayze,Point Break
Patrick Swayze,Road House
Patrick Swayze,Youngblood
Patrick Swayze,Red Dawn
Patrick Swayze,Dirty Dancing
Patrick Swayze,The Outsiders
Patrick Swayze,Next of Kin
Patrick Swayze,Black Dog
Patrick Swayze,Ghost
Patrick Swayze,Father Hood
Woody Harrelson,Zombieland
Woody Harrelson,Natural Born Killers
Woody Harrelson,Kingpin
Woody Harrelson,The People vs. Larry Flynt
Woody Harrelson,White Men Can't Jump
Woody Harrelson,Money Train
Woody Harrelson,The Messenger
Woody Harrelson,EDtv
Woody Harrelson,The Cowboy Way
Woody Harrelson,Rampart
Kevin Costner,Wyatt Earp
Kevin Costner,Dances with Wolves
Kevin Costner,Robin Hood: Prince of Thieves
Kevin Costner,Mr. Brooks
Kevin Costner,Field of Dreams
Kevin Costner,Waterworld
Kevin Costner,Hatfields & McCoys
Kevin Costner,Bull Durham
Kevin Costner,The Company Men
Kevin Costner,A Perfect World
Sean Penn,Fast Times at Ridgemont High
Sean Penn,Mystic River
Sean Penn,Casualties of War
Sean Penn,Milk
Sean Penn,Bad Boys
Sean Penn,At Close Range
Sean Penn,Sweet and Lowdown
Sean Penn,The Assassination of Richard Nixon
Sean Penn,Dead Man Walking
Sean Penn,21 Grams
Jeff Bridges,Crazy Heart
Jeff Bridges,The Big Lebowski
Jeff Bridges,Thunderbolt and Lightfoot
Jeff Bridges,The Last Picture Show
Jeff Bridges,Blown Away
Jeff Bridges,Fearless
Jeff Bridges,Wild Bill
Jeff Bridges,White Squall
Jeff Bridges,True Grit
Jeff Bridges,Starman
Kevin Spacey,L.A. Confidential
Kevin Spacey,The Negotiator
Kevin Spacey,American Beauty
Kevin Spacey,The Usual Suspects
Kevin Spacey,Casino Jack
Kevin Spacey,Shrink
Kevin Spacey,21
Kevin Spacey,Moon
Kevin Spacey,Father of Invention
Kevin Spacey,The Big Kahuna
Harrison Ford,Raiders of the Lost Ark
Harrison Ford,Star Wars
Harrison Ford,Blade Runner
Harrison Ford,The Fugitive
Harrison Ford,Patriot Games
Harrison Ford,The Devil's Own
Harrison Ford,Witness
Harrison Ford,American Graffiti
Harrison Ford,Clear and Present Danger
Harrison Ford,What Lies Beneath
Russell Crowe,A Beautiful Mind
Russell Crowe,Gladiator
Russell Crowe,The Insider
Russell Crowe,Master and Commander: The Far Side of the World
Russell Crowe,American Gangster
Russell Crowe,Cinderella Man
Russell Crowe,Body of Lies
Russell Crowe,L.A. Confidential
Russell Crowe,State of Play
Russell Crowe,Les Misérables
Bruce Willis,Die Hard
Bruce Willis,The Last Boy Scout
Bruce Willis,The Jackal
Bruce Willis,The Whole Nine Yards
Bruce Willis,The Sixth Sense
Bruce Willis,Tears of the Sun
Bruce Willis,Last Man Standing
Bruce Willis,The Bonfire of the Vanities
Bruce Willis,Mercury Rising
Bruce Willis,RED
Keanu Reeves,Bill & Ted's Excellent Adventure
Keanu Reeves,Speed
Keanu Reeves,The Matrix
Keanu Reeves,Constantine
Keanu Reeves,The Gift
Keanu Reeves,My Own Private Idaho
Keanu Reeves,The Replacements
Keanu Reeves,Johnny Mnemonic
Keanu Reeves,Sweet November
Keanu Reeves,Street Kings
Mickey Rourke,Harley Davidson and the Marlboro Man
Mickey Rourke,The Wrestler
Mickey Rourke,Sin City
Mickey Rourke,Diner
Mickey Rourke,Rumble Fish
Mickey Rourke,Homeboy
Mickey Rourke,Johnny Handsome
Mickey Rourke,Angel Heart
Mickey Rourke,Desperate Hours
Mickey Rourke,Fall Time
Matt Damon,The Bourne Identity
Matt Damon,We Bought a Zoo
Matt Damon,The Rainmaker
Matt Damon,The Legend of Bagger Vance
Matt Damon,The Brothers Grimm
Matt Damon,The Talented Mr. Ripley
Matt Damon,Dogma
Matt Damon,Stuck on You
Matt Damon,Green Zone
Matt Damon,The Good Shepherd
Ed Harris,The Right Stuff
Ed Harris,Pollock
Ed Harris,The Truman Show
Ed Harris,Radio
Ed Harris,A History of Violence
Ed Harris,Copying Beethoven
Ed Harris,Appaloosa
Ed Harris,Game Change
Ed Harris,Creepshow
Ed Harris,Gone Baby Gone
John Travolta,Saturday Night Fever
John Travolta,Broken Arrow
John Travolta,Pulp Fiction
John Travolta,The Taking of Pelham 123
John Travolta,Old Dogs
John Travolta,Grease
John Travolta,Mad City
John Travolta,From Paris with Love
John Travolta,Carrie
John Travolta,Phenomenon
Michael Keaton,Beetlejuice
Michael Keaton,Batman Returns
Michael Keaton,Jack Frost
Michael Keaton,Johnny Dangerously
Michael Keaton,Jackie Brown
Michael Keaton,The Dream Team
Michael Keaton,Mr. Mom
Michael Keaton,The Last Time
Michael Keaton,Desperate Measures
Michael Keaton,The Paper
Mel Gibson,Mad Max
Mel Gibson,Braveheart
Mel Gibson,Air America
Mel Gibson,Lethal Weapon
Mel Gibson,The Patriot
Mel Gibson,We Were Soldiers
Mel Gibson,Ransom
Mel Gibson,What Women Want
Mel Gibson,Signs
Mel Gibson,Maverick
Denzel Washington,Training Day
Denzel Washington,Malcolm X
Denzel Washington,Flight
Denzel Washington,Courage Under Fire
