Name,Image,Team,Year
Jason Kidd,https://cdn.statmuse.com/img/nba/players/jason-kidd-dallas-mavericks-min--zphipuvi.png,Mavs,2011
Ian Mahinmi,https://cdn.statmuse.com/img/nba/teams/Dallas-Mavericks-Silhouette.png,Mavs,2011
Shawn Marion,https://cdn.statmuse.com/img/nba/players/shawn-marion-dallas-mavericks-min--kkytiujj.png,Mavs,2011
Steve Novak,https://cdn.statmuse.com/img/nba/teams/Dallas-Mavericks-Silhouette.png,Mavs,2011
Dirk Nowitzki,https://cdn.statmuse.com/img/nba/players/dallas-mavericks-dirk-nowitzki2018-min--5dirahgq.png,Mavs,2011
Sasha Pavlovic,https://cdn.statmuse.com/img/nba/teams/Dallas-Mavericks-Silhouette.png,Mavs,2011
DeShawn Stevenson,https://cdn.statmuse.com/img/nba/teams/Dallas-Mavericks-Silhouette.png,Mavs,2011
Peja Stojakovic,https://cdn.statmuse.com/img/nba/players/peja-stojakovic-dallas-mavericks-min--m6s4ca1i.png,Mavs,2011
Jason Terry,https://cdn.statmuse.com/img/nba/teams/Dallas-Mavericks-Silhouette.png,Mavs,2011
Jeff Ayres,https://cdn.statmuse.com/img/nba/teams/San-Antonio-Spurs-Silhouette.png,Spurs,2014
Aron Baynes,https://cdn.statmuse.com/img/nba/players/san-antonio-spurs-aron-baynes-min--0fpfirgm.png,Spurs,2014
Marco Belinelli,https://cdn.statmuse.com/img/nba/teams/San-Antonio-Spurs-Silhouette.png,Spurs,2014
Matt Bonner,https://cdn.statmuse.com/img/nba/teams/San-Antonio-Spurs-Silhouette.png,Spurs,2014
Shannon Brown,https://cdn.statmuse.com/img/nba/teams/San-Antonio-Spurs-Silhouette.png,Spurs,2014
Austin Daye,https://cdn.statmuse.com/img/nba/teams/San-Antonio-Spurs-Silhouette.png,Spurs,2014
Nando de Colo,https://cdn.statmuse.com/img/nba/teams/San-Antonio-Spurs-Silhouette.png,Spurs,2014
Boris Diaw,https://cdn.statmuse.com/img/nba/teams/San-Antonio-Spurs-Silhouette.png,Spurs,2014
Tim Duncan,https://cdn.statmuse.com/img/nba/players/tim-duncan-san-antonio-spurs1-min--u_vksk97.png,Spurs,2014
Manu Ginobili,https://cdn.statmuse.com/img/nba/players/san-antonio-spurs-manu-ginobili2017-compressor--ks_vqbh5.png,Spurs,2014
Danny Green,https://cdn.statmuse.com/img/nba/players/san-antonio-spurs-danny-green2022-min--2rjulju4.png,Spurs,2014
Damion James,https://cdn.statmuse.com/img/nba/teams/San-Antonio-Spurs-Silhouette.png,Spurs,2014
Othyus Jeffers,https://cdn.statmuse.com/img/nba/teams/San-Antonio-Spurs-Silhouette.png,Spurs,2014
Cory Joseph,https://cdn.statmuse.com/img/nba/teams/San-Antonio-Spurs-Silhouette.png,Spurs,2014
Kawhi Leonard,https://cdn.statmuse.com/img/nba/players/san-antonio-spurs-kawhi-leonard2019-min--9-h2jdiq.png,Spurs,2014
Patty Mills,https://cdn.statmuse.com/img/nba/players/san-antonio-spurs-patty-mills-min--6sa-ptyq.png,Spurs,2014
Tony Parker,https://cdn.statmuse.com/img/nba/players/san-antonio-spurs-tony-parker2017-compressor-mhp7gqw8--a6fwatmk.png,Spurs,2014
Tiago Splitter,https://cdn.statmuse.com/img/nba/teams/San-Antonio-Spurs-Silhouette.png,Spurs,2014
Malcolm Thomas,https://cdn.statmuse.com/img/nba/teams/San-Antonio-Spurs-Silhouette.png,Spurs,2014
Leandro Barbosa,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2015
Harrison Barnes,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-harrison-barnes2021-min--b5rfgqx1.png,Warriors,2015
Andrew Bogut,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-andrew-bogut-min--yd8li_2q.png,Warriors,2015
Stephen Curry,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-stephen-curry2021-min-1-1--gmckzkgf.png,Warriors,2015
Festus Ezeli,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2015
