Actor,Actor_link,Movies,Images
"Morgan Freeman","https://www.imdb.com/list/ls051980843//name/nm0000151?ref_=nmls_hd","1. The Shawshank Redemption\n2. Driving Miss Daisy\n3. The Bucket List\n4. Invictus\n5. Glory\n6. The Magic of Belle Isle\n7. Kiss the Girls\n8. The Sum of All Fears\n9. Chain Reaction\n10. Hard Rain","https://m.media-amazon.com/images/M/MV5BMTc0MDMyMzI2OF5BMl5BanBnXkFtZTcwMzM2OTk1MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Marlon Brando","https://www.imdb.com/list/ls051980843//name/nm0000008?ref_=nmls_hd","1. Apocalypse Now\n2. On the Waterfront\n3. A Streetcar Named Desire\n4. Guys and Dolls\n5. The Wild One\n6. One-Eyed Jacks\n7. Last Tango in Paris\n8. Mutiny on the Bounty\n9. The Missouri Breaks\n10. The Score","https://m.media-amazon.com/images/M/MV5BMTg3MDYyMDE5OF5BMl5BanBnXkFtZTcwNjgyNTEzNA@@._V1_UY209_CR65,0,140,209_AL_.jpg"
"Arnold Schwarzenegger","https://www.imdb.com/list/ls051980843//name/nm0000216?ref_=nmls_hd","1. The Terminator Series\n2. Jingle All the Way\n3. True Lies\n4. The Running Man\n5. Predator\n6. Twins\n7. Total Recall\n8. Commando\n9. Kindergarten Cop\n10. Red Heat","https://m.media-amazon.com/images/M/MV5BMTI3MDc4NzUyMV5BMl5BanBnXkFtZTcwMTQyMTc5MQ@@._V1_UY209_CR13,0,140,209_AL_.jpg"
"Sylvester Stallone","https://www.imdb.com/list/ls051980843//name/nm0000230?ref_=nmls_hd","1. Rocky Series\n2. Over the Top\n3. Cliffhanger\n4. Rambo Series\n5. Lock Up\n6. Tango & Cash\n7. Cobra\n8. Demolition Man\n9. Judge Dredd\n10. Assassins","https://m.media-amazon.com/images/M/MV5BOGU0Y2JiMGEtYzc0Ni00MDIwLTgxZGYtOWE2ZDMzYWQ5MjI0XkEyXkFqcGdeQXVyMTI3NjAxODc0._V1_UY209_CR22,0,140,209_AL_.jpg"
"Nicolas Cage","https://www.imdb.com/list/ls051980843//name/nm0000115?ref_=nmls_hd","1. Con Air\n2. The Rock\n3. Face/Off\n4. Gone in 60 Seconds\n5. Raising Arizona\n6. Trapped in Paradise\n7. Adaptation\n8. Matchstick Men\n9. Lord of War\n10. Windtalkers","https://m.media-amazon.com/images/M/MV5BMjUxMjE4MTQxMF5BMl5BanBnXkFtZTcwNzc2MDM1NA@@._V1_UY209_CR6,0,140,209_AL_.jpg"
"Steve McQueen","https://www.imdb.com/list/ls051980843//name/nm0000537?ref_=nmls_hd","1. The Great Escape\n2. Bullitt\n3. Papillon\n4. Le Mans\n5. The Cincinnati Kid\n6. The Sand Pebbles\n7. The Thomas Crown Affai\n8. The Great St. Louis Bank Robbery\n9. The Blob\n10. The Getaway","https://m.media-amazon.com/images/M/MV5BYzNmODBlOGEtNjExMy00YjdiLWI5MTAtNjlkMmI5Y2Y0NzlkXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY209_CR13,0,140,209_AL_.jpg"
"Anthony Hopkins","https://www.imdb.com/list/ls051980843//name/nm0000164?ref_=nmls_hd","1. Hannibal Lecter Series\n2. The Elephant Man\n3. The Mask of Zorro\n4. Titus\n5. Nixon\n6. Meet Joe Black\n7. The Edge\n8. Bad Company\n9. Surviving Picasso\n10. The Road to Wellville","https://m.media-amazon.com/images/M/MV5BMTg5ODk1NTc5Ml5BMl5BanBnXkFtZTYwMjAwOTI4._V1_UY209_CR5,0,140,209_AL_.jpg"
"Mark Wahlberg","https://www.imdb.com/list/ls051980843//name/nm0000242?ref_=nmls_hd","1. Rock Star\n2. Boogie Nights\n3. Renaissance Man\n4. Four Brothers\n5. The Italian Job\n6. Ted\n7. Contraband\n8. The Big Hit\n9. Shooter\n10. The Fighter","https://m.media-amazon.com/images/M/MV5BMTU0MTQ4OTMyMV5BMl5BanBnXkFtZTcwMTQxOTY1NA@@._V1_UY209_CR10,0,140,209_AL_.jpg"
"Charlie Sheen","https://www.imdb.com/list/ls051980843//name/nm0000221?ref_=nmls_hd","1. Platoon\n2. The Chase\n3. The Rookie\n4. Navy SEALs\n5. Men at Work\n6. Major League Series\n7. Wall Street\n8. Cadence\n9. Hot Shots! Series\n10. Young Guns Series","https://m.media-amazon.com/images/M/MV5BMTIyNDQ5Nzk2OF5BMl5BanBnXkFtZTcwODU4MTU5MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Billy Bob Thornton","https://www.imdb.com/list/ls051980843//name/nm0000671?ref_=nmls_hd","1. Sling Blade\n2. Bad Santa\n3. Monster's Ball\n4. Armageddon\n5. The Man Who Wasn't There\n6. School for Scoundrels\n7. Pushing Tin\n8. A Simple Plan\n9. Bandits\n10. U Turn","https://m.media-amazon.com/images/M/MV5BMTcxOTUwMDI0OF5BMl5BanBnXkFtZTcwNjIyNzkzNw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Gary Oldman","https://www.imdb.com/list/ls051980843//name/nm0000198?ref_=nmls_hd","1. JFK\n2. Bram Stoker's Dracula\n3. Sid and Nancy\n4. The Dark Knight Series\n5. Air Force One\n6. Léon: The Professional\n7. True Romance\n8. Immortal Beloved\n9. The Fifth Element\n10. Tinker Tailor Soldier Spy","https://m.media-amazon.com/images/M/MV5BMTc3NTM4MzQ5MV5BMl5BanBnXkFtZTcwOTE4MDczNw@@._V1_UY209_CR1,0,140,209_AL_.jpg"
"Gene Hackman","https://www.imdb.com/list/ls051980843//name/nm0000432?ref_=nmls_hd","1. The French Connection\n2. Mississippi Burning\n3. The Conversation\n4. Scarecrow\n5. Behind Enemy Lines\n6. Superman\n7. The Quick and the Dead\n8. Heist\n9. The Royal Tenenbaums\n10. Enemy of the State","https://m.media-amazon.com/images/M/MV5BMTE5Njk0NDQ4OV5BMl5BanBnXkFtZTYwNjA0Mzc1._V1_UY209_CR1,0,140,209_AL_.jpg"
"Robin Williams","https://www.imdb.com/list/ls051980843//name/nm0000245?ref_=nmls_hd","1. Good Will Hunting\n2. Good Morning, Vietnam\n3. Dead Poets Society\n4. Awakenings\n5. Mrs. Doubtfire\n6. Insomnia\n7. The Fisher King\n8. The Big White\n9. One Hour Photo\n10. The Birdcage","https://m.media-amazon.com/images/M/MV5BNTYzMjc2Mjg4MF5BMl5BanBnXkFtZTcwODc1OTQwNw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
