Actor,Actor_link,Movies,Images
Clint Eastwood,https://www.imdb.com/list/ls051980843//name/nm0000142?ref_=nmls_hd,"1. Unforgiven
2. Gran Torino
3. Million Dollar Baby
4. Dirty Harry
5. Mystic River
6. The Good, the Bad and the Ugly
7. In the Line of Fire
8. A Fistful of Dollars
9. For a Few Dollars More
10. The Bridges of Madison County",https://m.media-amazon.com/images/M/MV5BMjAzMTkxNjk1N15BMl5BanBnXkFtZTcwMzM1Njk3Nw@@._V1_UY209_CR5,0,140,209_AL_.jpg
Kevin Spacey,https://www.imdb.com/list/ls051980843//name/nm0000228?ref_=nmls_hd,"1. American Beauty
2. The Usual Suspects
3. Se7en
4. L.A. Confidential
5. Beyond the Sea
6. Glengarry Glen Ross
7. Pay It Forward
8. House of Cards
9. Casino Jack
10. The Negotiator",https://m.media-amazon.com/images/M/MV5BMTk4NTQwMDMyMl5BMl5BanBnXkFtZTcwODc2NzEzMQ@@._V1_UY209_CR0,0,140,209_AL_.jpg
Harrison Ford,https://www.imdb.com/list/ls051980843//name/nm0000148?ref_=nmls_hd,"1. Indiana Jones Series
2. Star Wars Series
3. Blade Runner
4. The Fugitive
5. Witness
6. Patriot Games
7. Air Force One
8. Clear and Present Danger
9. Regarding Henry
10. Presumed Innocent",https://m.media-amazon.com/images/M/MV5BMzE5NTczMzYxMl5BMl5BanBnXkFtZTcwMjkyMTMwNA@@._V1_UX140_CR0,0,140,209_AL_.jpg
Diane Keaton,https://www.imdb.com/list/ls051980843//name/nm0000473?ref_=nmls_hd,"1. Annie Hall
2. The Godfather Series
3. Something's Gotta Give
4. Manhattan
5. Marvin's Room
6. Reds
7. The First Wives Club
8. The Family Stone
9. Baby Boom
10. The Other Sister",https://m.media-amazon.com/images/M/MV5BNzYwNjU0MzIzM15BMl5BanBnXkFtZTcwNjIyMzEzMQ@@._V1_UY209_CR2,0,140,209_AL_.jpg
Johnny Depp,https://www.imdb.com/list/ls051980843//name/nm0000136?ref_=nmls_hd,"1. Pirates of the Caribbean Series
2. Edward Scissorhands
3. Sweeney Todd: The Demon Barber of Fleet Street
4. Fear and Loathing in Las Vegas
5. Donnie Brasco
6. Finding Neverland
7. Sleepy Hollow
8. What's Eating Gilbert Grape
9. Public Enemies
10. Blow",https://m.media-amazon.com/images/M/MV5BMTkyNzUwMDY5MF5BMl5BanBnXkFtZTcwMTkxMjk1Mw@@._V1_UY209_CR0,0,140,209_AL_.jpg
Robert Redford,https://www.imdb.com/list/ls051980843//name/nm0000602?ref_=nmls_hd,"1. Butch Cassidy and the Sundance Kid
2. The Sting
3. All Is Lost
4. The Way We Were
5. Out of Africa
6. The Natural
7. Indecent Proposal
8. The Horse Whisperer
9. Sneakers
10. Spy Game",https://m.media-amazon.com/images/M/MV5BMjM3MTA5NzUyM15BMl5BanBnXkFtZTcwOTI0ODgyMQ@@._V1_UY209_CR0,0,140,209_AL_.jpg
Jeff Bridges,https://www.imdb.com/list/ls051980843//name/nm0000313?ref_=nmls_hd,"1. Crazy Heart
2. True Grit
3. The Big Lebowski
4. The Last Picture Show
5. Starman
6. Thunderbolt and Lightfoot
7. Hell or High Water
8. Tron
9. Arlington Road
10. Seabiscuit",https://m.media-amazon.com/images/M/MV5BMjExNTgyODk0MF5BMl5BanBnXkFtZTcwNjg2NDU5Mw@@._V1_UY209_CR7,0,140,209_AL_.jpg
Liam Neeson,https://www.imdb.com/list/ls051980843//name/nm0000553?ref_=nmls_hd,"1. Schindler's List
2. Taken Series
3. Michael Collins
4. Kinsey
5. Love Actually
6. Rob Roy
7. The Grey
8. Batman Begins
9. Les Misérables
10. The A-Team",https://m.media-amazon.com/images/M/MV5BMjIwMzU3MTMzMF5BMl5BanBnXkFtZTcwMDE0NDk2Mw@@._V1_UY209_CR1,0,140,209_AL_.jpg
Matt Damon,https://www.imdb.com/list/ls051980843//name/nm0000354?ref_=nmls_hd,"1. Good Will Hunting
2. The Bourne Series
3. The Martian
4. The Departed
5. Saving Private Ryan
6. Ocean's Eleven
7. Interstellar
8. Ford v Ferrari
9. True Grit
10. Invictus",https://m.media-amazon.com/images/M/MV5BMjA5MzgxMDYxNF5BMl5BanBnXkFtZTcwMjM5OTMyNw@@._V1_UY209_CR1,0,140,209_AL_.jpg
Brad Pitt,https://www.imdb.com/list/ls051980843//name/nm0000093?ref_=nmls_hd,"1. Fight Club
2. Se7en
3. Once Upon a Time in Hollywood
4. The Curious Case of Benjamin Button
5. Inglourious Basterds
6. Snatch
7. 12 Monkeys
8. Moneyball
9. Ocean's Eleven
10. Troy",https://m.media-amazon.com/images/M/MV5BMjE2NTM4NjE2N15BMl5BanBnXkFtZTcwMzA5MTYxMw@@._V1_UY209_CR1,0,140,209_AL_.jpg
Samuel L. Jackson,https://www.imdb.com/list/ls051980843//name/nm0000168?ref_=nmls_hd,"1. Pulp Fiction
2. Django Unchained
3. A Time to Kill
4. Unbreakable
5. The Hateful Eight
6. Jackie Brown
7. Die Hard with a Vengeance
8. Snakes on a Plane
9. Shaft
10. Kingsman: The Secret Service",https://m.media-amazon.com/images/M/MV5BMTQ5MzAzNzU3Ml5BMl5BanBnXkFtZTcwMDc2MTEwNA@@._V1_UY209_CR0,0,140,209_AL_.jpg
Bruce Willis,https://www.imdb.com/list/ls051980843//name/nm0000246?ref_=nmls_hd,"1. Die Hard Series
2. The Sixth Sense
3. Unbreakable
4. Pulp Fiction
5. Sin City
6. Armageddon
7. Twelve Monkeys
8. The Fifth Element
9. Red
10. Moonrise Kingdom",https://m.media-amazon.com/images/M/MV5BMjE3NjE3NjE2NF5BMl5BanBnXkFtZTcwMTk5NTg3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg
John Travolta,https://www.imdb.com/list/ls051980843//name/nm0000237?ref_=nmls_hd,"1. Pulp Fiction
2. Grease
3. Saturday Night Fever
4. Hairspray
5. Face/Off
6. Get Shorty
7. Blow Out
8. Swordfish
9. Broken Arrow
10. Battlefield Earth",https://m.media-amazon.com/images/M/MV5BMTU1NzQxMDIwMF5BMl5BanBnXkFtZTcwMjY2MTc4OQ@@._V1_UY209_CR0,0,140,209_AL_.jpg
Will Smith,https://www.imdb.com/list/ls051980843//name/nm0000226?ref_=nmls_hd,"1. The Pursuit of Happyness
2. Men in Black Series
3. Ali
4. Independence Day
5. I Am Legend
6. The Fresh Prince of Bel-Air
7. Bad Boys Series
8. Enemy of the State
9. Hitch
10. Focus",https://m.media-amazon.com/images/M/MV5BMjA3Mjk3MTU3N15BMl5BanBnXkFtZTcwMDU3MjI4OA@@._V1_UY209_CR4,0,140,209_AL_.jpg
George Clooney,https://www.imdb.com/list/ls051980843//name/nm0000123?ref_=nmls_hd,"1. Ocean's Eleven Series
2. Up in the Air
3. The Descendants
4. Syriana
5. Michael Clayton
6. Gravity
7. The Perfect Storm
8. Out of Sight
9. Three Kings
10. Confessions of a Dangerous Mind",https://m.media-amazon.com/images/M/MV5BMjE1NDc4NzQ2Nl5BMl5BanBnXkFtZTcwMjMyMjA5OQ@@._V1_UY209_CR1,0,140,209_AL_.jpg
Russell Crowe,https://www.imdb.com/list/ls051980843//name/nm0000128?ref_=nmls_hd,"1. Gladiator
2. A Beautiful Mind
3. The Insider
4. Les Misérables
5. Master and Commander: The Far Side of the World
6. Cinderella Man
7. 3:10 to Yuma
8. L.A. Confidential
9. Robin Hood
10. American Gangster",https://m.media-amazon.com/images/M/MV5BMTc0Mzk1NzU0Nl5BMl5BanBnXkFtZTcwNzk2NzY5Nw@@._V1_UY209_CR3,0,140,209_AL_.jpg
Tom Cruise,https://www.imdb.com/list/ls051980843//name/nm0000129?ref_=nmls_hd,"1. Top Gun
2. Mission: Impossible Series
3. Rain Man
4. Jerry Maguire
5. A Few Good Men
6. Minority Report
7. The Last Samurai
8. Collateral
9. Born on the Fourth of July
10. Magnolia",https://m.media-amazon.com/images/M/MV5BMjA5MTgxMDAxNF5BMl5BanBnXkFtZTcwMjcwNzA3OA@@._V1_UY209_CR6,0,140,209_AL_.jpg
Nicolas Cage,https://www.imdb.com/list/ls051980843//name/nm0000115?ref_=nmls_hd,"1. Leaving Las Vegas
2. Face/Off
3. Adaptation.
4. Moonstruck
5. Raising Arizona
6. The Rock
7. National Treasure Series
8. Con Air
9. Kick-Ass
10. Lord of War",https://m.media-amazon.com/images/M/MV5BMjE2MzIzNzI4Nl5BMl5BanBnXkFtZTcwNzY4MDI0Nw@@._V1_UY209_CR3,0,140,209_AL_.jpg
Eddie Murphy,https://www.imdb.com/list/ls051980843//name/nm0000552?ref_=nmls_hd,"1. Coming to America
2. Beverly Hills Cop Series
3. Dreamgirls
4. Trading Places
5. 48 Hrs.
6. The Nutty Professor
7. Shrek Series
8. The Golden Child
9. Harlem Nights
10. Tower Heist",https://m.media-amazon.com/images/M/MV5BMTgxMTg2NjA2OV5BMl5BanBnXkFtZTcwODg3ODU5Mw@@._V1_UY209_CR6,0,140,209_AL_.jpg
Ben Affleck,https://www.imdb.com/list/ls051980843//name/nm0000255?ref_=nmls_hd,"1. Argo
2. Good Will Hunting
3. The Town
4. Gone Girl
5. Chasing Amy
6. Hollywoodland
7. Armageddon
8. Shakespeare in Love
9. Boiler Room
10. Pearl Harbor",https://m.media-amazon.com/images/M/MV5BMTUyNTI5NzI5NF5BMl5BanBnXkFtZTcwODA0NzAwNA@@._V1_UY209_CR5,0,140,209_AL_.jpg
Robin Williams,https://www.imdb.com/list/ls051980843//name/nm0000245?ref_=nmls_hd,"1. Good Will Hunting
2. Dead Poets Society
3. Mrs. Doubtfire
4. Good Morning, Vietnam
5. Aladdin
6. The Fisher King
7. Jumanji
8. Patch Adams
9. The Birdcage
10. Hook",https://m.media-amazon.com/images/M/MV5BMjE4ODQ3MTgxNF5BMl5BanBnXkFtZTcwNTg2MTMzMQ@@._V1_UY209_CR7,0,140,209_AL_.jpg
Mark Wahlberg,https://www.imdb.com/list/ls051980843//name/nm0000242?ref_=nmls_hd,"1. The Departed
2. The Fighter
3. Boogie Nights
4. Ted
5. Lone Survivor
6. Three Kings
7. The Italian Job
8. Patriots Day
9. Shooter
10. The Other Guys",https://m.media-amazon.com/images/M/MV5BMjMzNzQ4Mzg0Ml5BMl5BanBnXkFtZTgwOTU1NzE4MDE@._V1_UY209_CR0,0,140,209_AL_.jpg
Sylvester Stallone,https://www.imdb.com/list/ls051980843//name/nm0000230?ref_=nmls_hd,"1. Rocky Series
2. Rambo Series
3. Cliffhanger
4. Creed Series
5. Demolition Man
6. The Expendables Series
7. Cop Land
8. Escape Plan
9. Nighthawks
10. Tango & Cash",https://m.media-amazon.com/images/M/MV5BNzQxNjE5OTYxOV5BMl5BanBnXkFtZTcwNDAyNDg3OA@@._V1_UY209_CR7,0,140,209_AL_.jpg
Keanu Reeves,https://www.imdb.com/list/ls051980843//name/nm0000206?ref_=nmls_hd,"1. The Matrix Series
2. John Wick Series
3. Speed
4. Point Break
5. Constantine
6. Bill & Ted's Excellent Adventure
7. The Devil's Advocate
8. A Scanner Darkly
9. Parenthood
10. My Own Private Idaho",https://m.media-amazon.com/images/M/MV5BMTcwMjU1OTI5Nl5BMl5BanBnXkFtZTcwNzY1NzMwNA@@._V1_UX140_CR0,0,140,209_AL_.jpg
John Cusack,https://www.imdb.com/list/ls051980843//name/nm0000131?ref_=nmls_hd,"1. High Fidelity
2. Say Anything...
3. Grosse Pointe Blank
4. Being John Malkovich
5. Con Air
6. Better Off Dead...
7. Serendipity
8. 1408
9. The Grifters
10. The Raven",https://m.media-amazon.com/images/M/MV5BMjM2NzI5MTU5NF5BMl5BanBnXkFtZTcwODUyMzg1OQ@@._V1_UY209_CR7,0,140,209_AL_.jpg
Arnold Schwarzenegger,https://www.imdb.com/list/ls051980843//name/nm0000216?ref_=nmls_hd,"1. Terminator Series
2. Predator
3. Total Recall
4. True Lies
5. Conan the Barbarian
6. Commando
7. The Running Man
8. Kindergarten Cop
9. Twins
10. Last Action Hero",https://m.media-amazon.com/images/M/MV5BMTMxNTMwNzI0NF5BMl5BanBnXkFtZTcwOTg5MTMwMw@@._V1_UY209_CR2,0,140,209_AL_.jpg
Jim Carrey,https://www.imdb.com/list/ls051980843//name/nm0000120?ref_=nmls_hd,"1. The Truman Show
2. Ace Ventura Series
3. Dumb and Dumber
4. Bruce Almighty
5. Liar Liar
6. Eternal Sunshine of the Spotless Mind
7. The Mask
8. Yes Man
9. Man on the Moon
10. The Cable Guy",https://m.media-amazon.com/images/M/MV5BMjE1MzI2OTc0Ml5BMl5BanBnXkFtZTcwMzcxMTY2MQ@@._V1_UY209_CR6,0,140,209_AL_.jpg
Gary Oldman,https://www.imdb.com/list/ls051980843//name/nm0000198?ref_=nmls_hd,"1. Tinker Tailor Soldier Spy
2. Darkest Hour
3. The Dark Knight Trilogy
4. Léon: The Professional
5. Bram Stoker's Dracula
6. Sid and Nancy
7. JFK
8. True Romance
9. The Fifth Element
10. Harry Potter Series",https://m.media-amazon.com/images/M/MV5BMTU2MTQ5NzYwN15BMl5BanBnXkFtZTcwMTQ5NzY5Ng@@._V1_UY209_CR8,0,140,209_AL_.jpg
Michael Douglas,https://www.imdb.com/list/ls051980843//name/nm0000140?ref_=nmls_hd,"1. Wall Street
2. Falling Down
3. Basic Instinct
4. The Game
5. Fatal Attraction
6. Wonder Boys
7. Traffic
8. Romancing the Stone
9. Behind the Candelabra
10. Ant-Man",https://m.media-amazon.com/images/M/MV5BMTYxNDc2MDA4MV5BMl5BanBnXkFtZTcwNjU2NTk2Mw@@._V1_UY209_CR8,0,140,209_AL_.jpg
